,person,credit_type,year,title,imdb_link,media_type,total_episode_count,add_info,year_start,year_end
1947,Jane Curtin,self,1976-1977,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Mother / Liz Montgomery / ...",3,"1976-1977

Saturday Night Live
(TV Series)

Self / Mother / Liz Montgomery / ...

- Live from Mardi Gras
(1977)
... Self / Mother


- Lily Tomlin/James Taylor
(1976)
... Self / Liz Montgomery / Self


- Buck Henry/Gordon Lightfoot
(1976)
... Self / patron / Actress",1976,1977
1997,Jane Curtin,actress,1975-1980,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Prymaat Conehead / ...",104,"1975-1980

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Prymaat Conehead / ...

- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... Weekend Update Anchor / Lady Wilkinson / Betty / ...


- Steve Martin/Paul & Linda McCartney/3-D
(1980)
... Weekend Update Anchor / Various


- Bob Newhart/The Amazing Rhythm Aces/Bruce Cockburn
(1980)
... Iris de Flaminio / Weekend Update Anchor / Mrs. Parker / ...


- Strother Martin/The Specials
(1980)
... Weekend Update Anchor / Various


- Burt Reynolds/Anne Murray
(1980)
... Weekend Update Anchor / Various





Show all 104 episodes",1975,1980
2083,Norm MacDonald,writer,1993-1994,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 20 episodes),20,"1993-1994

Saturday Night Live
(TV Series) (writer - 20 episodes)


- Heather Locklear/Janet Jackson
(1994)
... (writer)


- John Goodman/The Pretenders
(1994)
... (writer)


- Emilio Estevez/Pearl Jam
(1994)
... (writer)


- Kelsey Grammer/Dwight Yoakam
(1994)
... (writer)


- Helen Hunt/Snoop Doggy Dogg
(1994)
... (writer)





Show all 20 episodes",1993,1994
2124,Norm MacDonald,self,1998-1999,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Various / Lou Gehrig / ...",2,"1998-1999

Saturday Night Live
(TV Series)

Self - Host / Various / Lou Gehrig / ...

- Norm Macdonald/Dr. Dre & Snoop Dogg
(1999)
... Self - Host / Various / Lou Gehrig / ...


- Roma Downey/Missy 'Misdemeanor' Elliott
(1998)
... Self (uncredited)",1998,1999
2161,Norm MacDonald,actor,1993-2009,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Bob Dole / ...",94,"1993-2009

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Bob Dole / ...

- Will Ferrell/Green Day
(2009)
... Burt Reynolds / Self (uncredited)


- Julianne Moore/Backstreet Boys
(1998)
... Burt Reynolds / Various


- Scott Wolf/Natalie Imbruglia
(1998)
... Various


- Garth Brooks
(1998)
... Various


- Sarah Michelle Gellar/Portishead
(1998)
... Various





Show all 94 episodes",1993,2009
2228,Norm MacDonald,archive_footage,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self",1,"2021

Saturday Night Live
(TV Series)

Self

- Owen Wilson/Kacey Musgraves
(2021)
... Self",2021,2021
2283,Kevin Nealon,actor,1986-1999,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Franz / ...",170,"1986-1999

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Franz / ...

- Heather Graham/Marc Anthony
(1999)
... Franz (uncredited)


- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various


- Damon Wayans/Dionne Farris
(1995)
... Various


- John Goodman/Tragically Hip
(1995)
... Various / Sam Donaldson





Show all 170 episodes",1986,1999
2385,Kevin Nealon,self,1988-2001,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various / Pete Toman / ...",5,"1988-2001

Saturday Night Live
(TV Series)

Self / Various / Pete Toman / ...

- Christopher Walken/Weezer
(2001)
... Self (uncredited)


- David Duchovny/Rod Stewart
(1995)
... Self / Pete Toman


- Tom Hanks/Bruce Springsteen
(1992)
... Self / Various / Weekend Update Anchor


- George Steinbrenner/Morris Day & The Time
(1990)
... Self / Steve / Rod Camacho / ...


- Tom Hanks/Randy Travis
(1988)
... Self / Various",1988,2001
2397,Kevin Nealon,archive_footage,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

George Hamilton",1,"2021

Saturday Night Live
(TV Series)

George Hamilton

- Paul Rudd/Charli XCX
(2021)
... George Hamilton (uncredited)",2021,2021
2470,Kevin Nealon,writer,1986-1987,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 20 episodes),20,"1986-1987

Saturday Night Live
(TV Series) (writer - 20 episodes)


- Dennis Hopper/Roy Orbison
(1987)
... (writer)


- Garry Shandling/Los Lobos
(1987)
... (writer)


- Mark Harmon/Suzanne Vega
(1987)
... (writer)


- John Larroquette/Timbuk-3
(1987)
... (writer)


- John Lithgow/Anita Baker
(1987)
... (writer)





Show all 20 episodes",1986,1987
2595,Colin Quinn,writer,1995-1997,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 40 episodes),40,"1995-1997

Saturday Night Live
(TV Series) (writer - 40 episodes)


- Jeff Goldblum/En Vogue
(1997)
... (writer)


- John Goodman/Jewel
(1997)
... (writer)


- Pamela Lee/Rollins Band
(1997)
... (writer)


- Rob Lowe/Spice Girls
(1997)
... (writer)


- Mike Myers/Aerosmith
(1997)
... (writer)





Show all 40 episodes",1995,1997
2609,Colin Quinn,actor,1995-2000,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Joe Blow / ...",86,"1995-2000

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Joe Blow / ...

- Jackie Chan/Kid Rock
(2000)
... Various / Weekend Update Anchor


- Britney Spears
(2000)
... Various / Weekend Update Anchor


- John Goodman/Neil Young
(2000)
... Various / Weekend Update Anchor


- Tobey Maguire/Sisqo
(2000)
... Weekend Update Anchor


- Christopher Walken/Christina Aguilera
(2000)
... Weekend Update Anchor





Show all 86 episodes",1995,2000
2760,Colin Quinn,self,1996-2001,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Weekend Update Anchor / Ben / ...",4,"1996-2001

Saturday Night Live
(TV Series)

Self / Weekend Update Anchor / Ben / ...

- Drew Barrymore/Macy Gray
(2001)
... Self (uncredited)


- Vince Vaughn/Lauryn Hill
(1998)
... Self / Weekend Update Anchor


- Chevy Chase/Live
(1997)
... Self / Ben


- John Goodman/Everclear
(1996)
... Self / maintenance man",1996,2001
2775,Bill Murray,actor,1977-2018,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Husband / ...",75,"1977-2018

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Husband / ...

- Sam Rockwell/Halsey
(2018)
... Steve Bannon (uncredited)


- Benedict Cumberbatch/Solange
(2016)
... Chicago Cubs Fan (uncredited)


- Bill Murray/Sting
(1993)
... Various / Self - Host / Todd Blanston / ...


- Bill Murray/The Spinners/Yale Whiffenpoofs
(1981)
... Various / Self - Host / Ralph Lauren / ...


- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... Weekend Update Anchor / Earl of Sandwich / Ted Kennedy / ...





Show all 75 episodes",1977,2018
3002,Bill Murray,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (3 episodes, 1977) (writer - 9 episodes, 1977)",12,"Saturday Night Live
(TV Series) (3 episodes, 1977) (writer - 9 episodes, 1977)


- Buck Henry/Jennifer Warnes/Kenny Vance
(1977)
... (writer)


- Shelley Duvall/Joan Armatrading
(1977)
... (writer)


- Eric Idle/Neil Innes
(1977)
... (writer)


- Elliott Gould/Kate & Anna McGarrigle/Roslyn Kind
(1977)
... (writer)


- Julian Bond/Tom Waits, Brick
(1977)
... (writer)





Show all 12 episodes",1977,1977
3066,Bill Murray,self,1977-1999,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Self / Various / ...",6,"1977-1999

Saturday Night Live
(TV Series)

Self - Host / Self / Various / ...

- Bill Murray/Lucinda Williams
(1999)
... Self - Host / Stacy Cohen / Steve Baxter


- Sarah Jessica Parker/R.E.M.
(1994)
... Self (uncredited)


- Bill Murray/Percy Sledge
(1987)
... Self - Host / Nick Slammer / Honker / ...


- Bill Murray/Delbert McClinton
(1981)
... Self - Host / Walter Cronkite / Nick Rivers / ...


- Chevy Chase/Marianne Faithfull
(1980)
... Self / Weekend Update Anchor / Mudhad Asad / ...





Show all 6 episodes",1977,1999
3143,Chevy Chase,actor,1975-2013,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Weekend Update Anchor / Various / Gerald Ford / ...",36,"1975-2013

Saturday Night Live
(TV Series)

Weekend Update Anchor / Various / Gerald Ford / ...

- Justin Timberlake
(2013)
... Dusty Bottoms / Self (uncredited)


- Seth Rogen/Spoon
(2007)
... Weekend Update Special Anchor (uncredited)


- Seann William Scott/Sum41
(2001)
... The Land Shark (uncredited)


- Martin Short/No Doubt
(1996)
... Merriwether (uncredited)


- Robert Klein/Bonnie Raitt
(1978)
... Lobster roars (voice, uncredited)





Show all 36 episodes",1975,2013
3186,Chevy Chase,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (writer - 21 episodes, 1976) (writing supervisor - 13 episodes, 1976) (written by - 12 episodes, 1975 - 1976)",33,"Saturday Night Live
(TV Series) (writer - 21 episodes, 1976) (writing supervisor - 13 episodes, 1976) (written by - 12 episodes, 1975 - 1976)


- Candice Bergen/Frank Zappa
(1976)
... (writer)


- Jodie Foster/Brian Wilson
(1976)
... (writer)


- Paul Simon/George Harrison
(1976)
... (writer)


- Buck Henry/The Band
(1976)
... (writer)


- Steve Martin/Kinky Friedman
(1976)
... (writer)





Show all 33 episodes",1975,1976
3402,Chevy Chase,self,1976-1999,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Various / ...",17,"1976-1999

Saturday Night Live
(TV Series)

Self / Self - Host / Various / ...

- Bill Murray/Lucinda Williams
(1999)
... Self (uncredited)


- Chris Farley/The Mighty Mighty Bosstones
(1997)
... Self (uncredited)


- Chevy Chase/Live
(1997)
... Self - Host / Cow Man / Jeff Proctor / ...


- Chevy Chase/Lisa Loeb and Nine Stories
(1995)
... Self - Host / Mark Fuhrman


- Chevy Chase/Robbie Robertson
(1992)
... Self - Host / Various / Jeffrey Dahmer / ...





Show all 17 episodes",1976,1999
3463,Chevy Chase,archive_footage,2005-2005,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Job Interviewer",1,"2005

Saturday Night Live
(TV Series)

Job Interviewer

- Alec Baldwin/Shakira
(2005)
... Job Interviewer (uncredited)",2005,2005
3491,Brad Hall,actor,1982-2006,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Saturday Night News Anchor / Audience Member / ...",40,"1982-2006

Saturday Night Live
(TV Series)

Various / Saturday Night News Anchor / Audience Member / ...

- Julia Louis-Dreyfus/Paul Simon
(2006)
... Audience Member (uncredited)


- Billy Crystal/Ed Koch/Edwin Newman/Father Guido Sarducci/Betty Thomas/The Cars
(1984)
... Various


- Barry Bostwick/Spinal Tap
(1984)
... Various


- George McGovern/Madness
(1984)
... Various


- Michael Douglas/Deniece Williams
(1984)
... Various





Show all 40 episodes",1982,2006
3502,Brad Hall,self,2007-2007,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self",1,"2007

Saturday Night Live
(TV Series)

Self

- Julia Louis-Dreyfus/Snow Patrol
(2007)
... Self (uncredited)",2007,2007
3531,Cecily Strong,actress,2012-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Melania Trump / ...",202,"2012-2022

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Melania Trump / ...

- Natasha Lyonne/Japanese Breakfast
(2022)


- Selena Gomez/Post Malone
(2022)
... Various


- Lizzo
(2022)
... Marjorie Taylor Green / Bambee / Fergie / ...


- Jake Gyllenhaal/Camila Cabello
(2022)
... backup singer / The Singers Four / flower / ...


- Jerrod Carmichael/Gunna
(2022)
... Jeanine Pirro / Dot / Marsha Blackburn





Show all 202 episodes",2012,2022
3547,Cecily Strong,self,2021-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Margaret / Sandy / ...",3,"2021-2022

Saturday Night Live
(TV Series)

Self / Margaret / Sandy / ...

- Benedict Cumberbatch/Arcade Fire
(2022)
... Self / Margaret / Sandy / ...


- John Mulaney/LCD Soundsystem
(2022)
... Self / attorney / Rebecca Ann Bush / ...


- Rami Malek/Young Thug
(2021)
... Various",2021,2022
3563,Cecily Strong,archive_footage,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Pageant judge / Elf / Alanis Morrisette",1,"2021

Saturday Night Live
(TV Series)

Pageant judge / Elf / Alanis Morrisette

- Paul Rudd/Charli XCX
(2021)
... Pageant judge / Elf / Alanis Morrisette",2021,2021
3638,Dan Aykroyd,actor,1975-2013,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Weekend Update Anchor / Jimmy Carter / ...",97,"1975-2013

Saturday Night Live
(TV Series)

Various / Weekend Update Anchor / Jimmy Carter / ...

- Justin Timberlake
(2013)
... Georg Festrunk / Self (uncredited)


- Alec Baldwin/Jonas Brothers
(2009)
... John Boehner (uncredited)


- Peyton Manning/Carrie Underwood
(2007)
... Sanjaya Fan (uncredited)


- Queen Latifah/Ms. Dynamite
(2003)
... Sen. Bob Dole (uncredited)


- Britney Spears
(2002)
... Various (uncredited)





Show all 97 episodes",1975,2013
3743,Dan Aykroyd,self,1976-2003,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Self / announcer / ...",2,"1976-2003

Saturday Night Live
(TV Series)

Self - Host / Self / announcer / ...

- Dan Aykroyd/Beyonce
(2003)
... Self - Host


- Buck Henry/Gordon Lightfoot
(1976)
... Self / announcer / Kenny Slungard / ...",1976,2003
3849,Dan Aykroyd,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (4 episodes, 1976) (writer - 56 episodes, 1976 - 1979) (written by - 3 episodes, 1976 - 1979)",63,"Saturday Night Live
(TV Series) (4 episodes, 1976) (writer - 56 episodes, 1976 - 1979) (written by - 3 episodes, 1976 - 1979)


- Buck Henry/Bette Midler
(1979)
... (writer)


- Maureen Stapleton/Linda Ronstadt/Phoebe Snow
(1979)
... (writer)


- Michael Palin/James Taylor
(1979)
... (writer)


- Milton Berle/Ornette Coleman
(1979)
... (writer)


- Richard Benjamin/Rickie Lee Jones
(1979)
... (writer)





Show all 63 episodes",1976,1979
4130,Brian Doyle-Murray,actor,1978-1982,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / SNL Newsbreak Anchor / Patron / ...",52,"1978-1982

Saturday Night Live
(TV Series)

Various / SNL Newsbreak Anchor / Patron / ...

- Olivia Newton-John
(1982)
... SNL Newsbreak Anchor / Various / Rod Serling / ...


- Danny DeVito/Sparks
(1982)
... SNL Newsbreak Anchor / Various


- Robert Culp/The Charlie Daniels Band
(1982)
... SNL Newsbreak Anchor / Various


- Johnny Cash/Elton John
(1982)
... SNL Newsbreak Anchor / Various


- Daniel J. Travanti/John Cougar
(1982)
... SNL Newsbreak Anchor / Various / Rod Serling / ...





Show all 52 episodes",1978,1982
