person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Tom Davis (I),False,1975,2003,15,15,0,3,0,3,0,0,0,0,0,https://www.imdb.com/name/nm0205569/?ref_=fn_nm_nm_1,279,156,158,0.09054780825429379
Al Franken,False,1977,1995,15,15,0,11,0,11,0,0,0,0,0,https://www.imdb.com/name/nm0291253/?ref_=fn_nm_nm_0,301,118,201,0.13492276261719993
Tom Schiller,False,1975,1990,7,7,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0771680/?ref_=fn_nm_nm_0,145,71,25,0.04668714648591603
A. Whitney Brown,False,1985,1991,6,6,0,6,0,6,0,0,0,0,0,https://www.imdb.com/name/nm0112944/?ref_=fn_nm_nm_1,111,43,23,0.11080247488988837
Michael O'Donoghue,False,1975,1982,6,6,5,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0640874/?ref_=fn_nm_nm_1,94,35,12,0.16244541026776352
Mikey Day,True,2013,2023,10,4,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm1510062/?ref_=fn_nm_nm_1,63,123,2,0.09577630444408194
Phil Hartman,False,1986,1994,8,3,0,8,8,0,0,0,0,1,2,https://www.imdb.com/name/nm0367005/?ref_=fn_nm_nm_0,0,152,15,0.11806704574584605
Jim Belushi,False,1983,1985,2,2,0,2,2,0,0,0,0,0,0,https://www.imdb.com/name/nm0000902/?ref_=fn_nm_nm_1,33,33,2,0.10031495420754585
Andrew Dismukes,True,2017,2023,5,3,0,3,0,3,0,0,0,0,0,https://www.imdb.com/name/nm8608160/?ref_=fn_nm_nm_0,64,40,3,0.06915047423737504
Robin Duke,False,1981,1984,4,2,0,4,4,0,0,0,0,0,0,https://www.imdb.com/name/nm0241208/?ref_=fn_nm_nm_1,39,59,2,0.1064404232015101
Leslie Jones,False,2013,2019,6,2,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm0428656/?ref_=fn_nm_nm_1,32,105,0,0.09679736353537943
Peter Aykroyd,False,1979,1980,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0043839/?ref_=fn_nm_nm_1,20,16,0,0.09048880240497775
John Belushi,False,1975,1979,4,1,0,4,4,0,0,0,0,1,0,https://www.imdb.com/name/nm0000004/?ref_=fn_nm_nm_1,23,83,6,0.10764524247861854
Rich Hall,False,1984,1985,1,1,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0356025/?ref_=fn_nm_nm_1,18,16,2,0.0953026030621519
Fred Armisen,False,2002,2013,11,0,0,11,9,2,0,0,0,0,1,https://www.imdb.com/name/nm0035488/?ref_=fn_nm_nm_0,0,237,7,0.13083684836056025
Morwenna Banks,False,1995,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0052218/?ref_=fn_nm_nm_1,0,3,1,0.09146908718044323
Vanessa Bayer,False,2010,2017,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm3364779/?ref_=fn_nm_nm_0,0,149,1,0.11481341780495843
Beck Bennett,False,2013,2021,8,0,0,8,6,2,0,0,0,0,0,https://www.imdb.com/name/nm3080722/?ref_=fn_nm_nm_0,0,164,0,0.1179178124490224
Jim Breuer,False,1995,1998,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0108028/?ref_=fn_nm_nm_1,0,57,3,0.10045326373191023
Paul Brittain,False,2010,2012,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm4204968/?ref_=fn_nm_nm_0,0,34,0,0.09141024445946262
Aidy Bryant,False,2012,2022,10,0,0,10,9,1,0,0,0,0,0,https://www.imdb.com/name/nm5262775/?ref_=fn_nm_nm_1,0,203,3,0.12578999557223092
Beth Cahill,False,1991,1992,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0128639/?ref_=fn_nm_nm_1,0,13,0,0.0877012887138496
Dana Carvey,False,1986,1993,7,0,0,7,7,0,0,0,0,1,4,https://www.imdb.com/name/nm0001022/?ref_=fn_nm_nm_0,0,130,8,0.11404045582717717
Ellen Cleghorne,False,1991,1995,4,0,0,4,2,0,2,0,0,0,0,https://www.imdb.com/name/nm0165971/?ref_=fn_nm_nm_0,0,77,3,0.10153626109855282
George Coe,False,1975,1975,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0168642/?ref_=fn_nm_nm_1,0,10,0,0.09232341357693831
Joan Cusack,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000349/?ref_=fn_nm_nm_1,0,17,1,0.09323250448602922
Pete Davidson,False,2014,2022,8,0,0,8,6,2,0,0,0,0,0,https://www.imdb.com/name/nm0203457/?ref_=fn_nm_nm_1,0,160,4,0.11752350795833237
Denny Dillon,False,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0226986/?ref_=fn_nm_nm_0,0,13,0,0.0927012887138496
Robert Downey Jr.,False,1985,1986,1,0,0,1,1,0,0,0,0,0,1,https://www.imdb.com/name/nm0000375/?ref_=fn_nm_nm_1,0,16,3,0.09316131061965463
Rachel Dratch,False,1999,2006,7,0,0,7,5,2,0,0,0,0,0,https://www.imdb.com/name/nm0237222/?ref_=fn_nm_nm_0,0,145,6,0.11444649557056631
Nora Dunn,False,1985,1990,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0004887/?ref_=fn_nm_nm_1,0,88,3,0.10648563305446157
Dean Edwards,False,2001,2003,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0249931/?ref_=fn_nm_nm_1,0,40,0,0.09216599473328518
Abby Elliott,False,2008,2012,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm2212031/?ref_=fn_nm_nm_0,0,81,0,0.10195794784554077
Chris Elliott,False,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0254402/?ref_=fn_nm_nm_0,0,19,1,0.09348442124397008
Siobhan Fallon Hogan,False,1991,1992,1,0,0,1,0,0,1,0,0,0,0,https://www.imdb.com/name/nm0266441/?ref_=fn_nm_nm_0,0,20,0,0.08858299736664259
Chris Farley,False,1990,1995,5,0,0,5,5,0,1,0,0,1,1,https://www.imdb.com/name/nm0000394/?ref_=fn_nm_nm_0,0,96,7,0.12460282911141665
Will Ferrell,False,1995,2002,7,0,0,7,7,0,0,0,0,1,5,https://www.imdb.com/name/nm0002071/?ref_=fn_nm_nm_1,0,140,11,0.1153821863857752
Chloe Fineman,True,2019,2023,4,0,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm4806887/?ref_=fn_nm_nm_1,0,55,4,0.09879255901750134
Will Forte,False,2002,2010,8,0,0,8,7,1,0,0,0,0,0,https://www.imdb.com/name/nm0287182/?ref_=fn_nm_nm_1,0,156,4,0.11764467444245065
Heidi Gardner,True,2017,2023,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm5906920/?ref_=fn_nm_nm_1,0,99,2,0.1072409560874057
Janeane Garofalo,False,1994,1995,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0000413/?ref_=fn_nm_nm_1,0,14,0,0.09282724709282002
Ana Gasteyer,False,1996,2002,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0309430/?ref_=fn_nm_nm_1,0,121,4,0.11173347160401761
Gilbert Gottfried,False,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0331906/?ref_=fn_nm_nm_1,0,13,0,0.0927012887138496
Bill Hader,False,2005,2013,8,0,0,8,7,1,0,0,0,0,2,https://www.imdb.com/name/nm0352778/?ref_=fn_nm_nm_1,4,161,6,0.118811158560742
Anthony Michael Hall,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0001309/?ref_=fn_nm_nm_1,0,12,6,0.09273962387266668
Darrell Hammond,False,1995,2009,14,0,0,14,14,0,0,0,0,0,0,https://www.imdb.com/name/nm0358669/?ref_=fn_nm_nm_1,0,313,128,0.1478235184451539
Lauren Holt,False,2020,2021,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm7576527/?ref_=fn_nm_nm_1,0,20,0,0.08858299736664259
Jan Hooks,False,1986,1991,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0393660/?ref_=fn_nm_nm_0,0,100,4,0.10802451585840461
Yvonne Hudson,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0399994/?ref_=fn_nm_nm_1,0,31,0,0.08996853953531729
Melanie Hutsell,False,1991,1994,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm0404525/?ref_=fn_nm_nm_0,0,53,2,0.09658871462639727
Victoria Jackson,False,1986,1992,6,0,0,6,6,0,0,0,0,0,0,https://www.imdb.com/name/nm0414130/?ref_=fn_nm_nm_1,0,109,5,0.1102493533126704
Punkie Johnson,True,2020,2023,3,0,0,3,0,3,0,0,0,0,0,https://www.imdb.com/name/nm9790618/?ref_=fn_nm_nm_0,0,40,1,0.09325720677681715
Chris Kattan,False,1996,2003,8,0,0,8,7,1,0,0,0,1,0,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_0,0,148,4,0.11663700741068724
Taran Killam,False,2010,2016,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1,0,128,0,0.11083898456495225
David Koechner,False,1995,1996,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_0,0,21,0,0.09370895574561301
Gary Kroeger,False,1982,1985,3,0,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1,0,56,1,0.10027254084034397
Matthew Laurance,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1,0,9,1,0.08722483745426582
Julia Louis-Dreyfus,False,1982,1985,3,0,0,3,3,0,0,0,0,0,3,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_0,0,57,3,0.10045326373191023
Jon Lovitz,False,1985,1990,5,0,0,5,5,0,0,0,0,1,1,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_0,0,91,10,0.10705518398545828
Michael McKean,False,1994,1995,2,0,0,2,2,0,0,0,0,0,1,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_0,0,27,3,0.09561068257556338
Mark McKinney,False,1985,1997,4,1,0,3,3,0,0,0,0,0,0,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1,0,70,2,0.08062717018946192
Kate McKinnon,False,2012,2022,11,0,0,11,9,2,0,0,0,0,0,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1,0,207,4,0.12697595022255367
Tim Meadows,False,1991,2000,10,1,0,10,10,0,0,0,0,1,0,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1,20,182,8,0.1261914194495584
Laurie Metcalf,False,1981,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0582418/?ref_=fn_nm_nm_0,0,1,1,0.08621717042250239
John Milhiser,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2275887/?ref_=fn_nm_nm_1,0,21,1,0.08873633800191094
Jerry Minor,False,2000,2001,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0591576/?ref_=fn_nm_nm_0,20,20,0,0.09099263592085946
Finesse Mitchell,False,2003,2006,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm1459509/?ref_=fn_nm_nm_0,0,59,0,0.09728970038762401
Alex Moffat,False,2016,2022,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm5803981/?ref_=fn_nm_nm_1,0,120,2,0.10988608204578468
Jay Mohr,False,1993,1995,2,1,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0001542/?ref_=fn_nm_nm_0,20,39,0,0.09444967490853162
Kyle Mooney,False,2013,2022,9,0,0,9,7,2,0,0,0,0,0,https://www.imdb.com/name/nm3324982/?ref_=fn_nm_nm_1,0,182,3,0.12146992871550676
Tracy Morgan,False,1996,2003,7,0,0,7,7,0,0,0,0,1,2,https://www.imdb.com/name/nm0605079/?ref_=fn_nm_nm_1,0,142,13,0.1156888676563119
Bobby Moynihan,False,2008,2017,9,0,0,9,7,2,0,0,0,0,0,https://www.imdb.com/name/nm1293885/?ref_=fn_nm_nm_1,0,193,1,0.12280070637158563
Eddie Murphy,False,1980,1984,4,2,0,4,3,1,0,0,0,1,3,https://www.imdb.com/name/nm0000552/?ref_=fn_nm_nm_1,39,66,6,0.10618166087949478
Mike Myers,False,1989,1995,7,2,0,7,7,1,0,0,0,1,1,https://www.imdb.com/name/nm0000196/?ref_=fn_nm_nm_0,32,118,5,0.1284450873402424
Laraine Newman,False,1975,1980,5,0,0,5,5,0,0,0,0,0,0,https://www.imdb.com/name/nm0628170/?ref_=fn_nm_nm_0,0,104,3,0.1085009671179884
Don Novello,False,1977,1986,4,4,0,2,0,2,0,0,0,0,1,https://www.imdb.com/name/nm0637038/?ref_=fn_nm_nm_1,71,39,0,0.06022191279625271
Luke Null,False,2017,2018,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3760937/?ref_=fn_nm_nm_0,0,21,0,0.08870895574561302
Ego Nwodim,True,2018,2023,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm4945455/?ref_=fn_nm_nm_0,0,78,2,0.10319866700845937
Michael Patrick O'Brien (II),False,2009,2015,6,5,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3653190/?ref_=fn_nm_nm_1,103,44,0,0.03850145261898659
Cheri Oteri,False,1995,2000,5,0,0,5,5,0,0,0,0,1,0,https://www.imdb.com/name/nm0652783/?ref_=fn_nm_nm_1,0,98,2,0.10771783458786792
Chris Parnell,False,1998,2006,8,0,0,8,7,1,0,0,0,0,0,https://www.imdb.com/name/nm0663177/?ref_=fn_nm_nm_0,0,148,3,0.11660962515438932
Nasim Pedrad,False,2009,2014,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm1840659/?ref_=fn_nm_nm_1,0,109,0,0.10704861224394678
Jay Pharoah,False,2010,2016,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm3982894/?ref_=fn_nm_nm_1,0,128,1,0.11086636682125017
Emily Prager,False,1981,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0695104/?ref_=fn_nm_nm_0,0,4,1,0.08659504555941368
Randy Quaid,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0001642/?ref_=fn_nm_nm_0,0,18,1,0.09335846286499964
Gilda Radner,False,1975,1980,5,0,0,5,5,0,0,0,0,1,0,https://www.imdb.com/name/nm0705717/?ref_=fn_nm_nm_0,3,107,2,0.10921290578173429
Chris Redd,False,2017,2022,5,0,0,5,3,2,0,0,0,0,0,https://www.imdb.com/name/nm5412083/?ref_=fn_nm_nm_1,0,100,1,0.10594236908951085
Jeff Richards (III),False,2001,2004,3,0,0,3,1,2,0,0,0,0,0,https://www.imdb.com/name/nm0724145/?ref_=fn_al_nm_2,0,50,0,0.09615607497689016
Rob Riggle,False,2004,2005,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm1443527/?ref_=fn_nm_nm_0,0,21,0,0.08870895574561302
Ann Risley,False,1980,1981,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0728315/?ref_=fn_nm_nm_0,0,12,0,0.09257533033487916
Chris Rock,False,1990,1993,3,0,0,3,2,0,1,0,0,1,3,https://www.imdb.com/name/nm0001674/?ref_=fn_nm_nm_0,0,57,17,0.09916994865341444
Jon Rudnitsky,False,2015,2016,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm4339544/?ref_=fn_nm_nm_0,0,21,0,0.08870895574561302
Maya Rudolph,False,2000,2007,9,0,0,9,7,2,0,0,0,0,2,https://www.imdb.com/name/nm0748973/?ref_=fn_nm_nm_1,0,162,8,0.11908767241758782
Andy Samberg,False,2005,2012,7,0,0,7,6,1,0,0,0,0,1,https://www.imdb.com/name/nm1676221/?ref_=fn_nm_nm_1,17,140,5,0.11655179990478631
Paul Shaffer,False,1979,1980,1,0,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0787238/?ref_=fn_nm_nm_1,0,27,33,0.09036832047726691
Molly Shannon,False,1995,2001,7,0,0,7,6,1,0,0,0,1,1,https://www.imdb.com/name/nm0788340/?ref_=fn_nm_nm_1,0,117,7,0.11166132892997799
Jenny Slate,False,2009,2010,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm2809577/?ref_=fn_nm_nm_1,0,22,0,0.08883491412458344
Pamela Stephenson,False,1984,1985,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0827298/?ref_=fn_nm_nm_1,0,18,0,0.09333108060870172
Ben Stiller,False,1989,1990,1,1,0,1,0,1,0,0,0,0,2,https://www.imdb.com/name/nm0001774/?ref_=fn_nm_nm_0,0,13,3,0.08778343548274337
Julia Sweeney,False,1990,1994,4,0,0,4,3,0,1,0,0,0,0,https://www.imdb.com/name/nm0842140/?ref_=fn_nm_nm_0,0,78,2,0.10288483722122535
Kenan Thompson,False,2003,2023,20,0,0,20,18,2,0,0,0,0,0,https://www.imdb.com/name/nm0860380/?ref_=fn_nm_nm_0,0,383,2,0.1590734194029503
Danitra Vance,False,1985,1986,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0888503/?ref_=fn_nm_nm_0,0,17,1,0.09323250448602922
Melissa Villaseñor,False,2016,2022,6,0,0,6,4,2,0,0,0,0,0,https://www.imdb.com/name/nm3830257/?ref_=fn_nm_nm_1,0,120,2,0.10988608204578468
Dan Vitale,False,1985,1986,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0899865/?ref_=fn_nm_nm_0,0,4,0,0.08656766330311576
Nancy Carell,False,1995,1996,1,0,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0909391/?ref_=fn_nm_nm_0,0,17,5,0.0933420335112209
Michaela Watkins,False,2008,2009,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm1143861/?ref_=fn_nm_nm_1,0,15,0,0.08795320547179046
Damon Wayans,False,1985,1986,1,0,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0001834/?ref_=fn_nm_nm_1,0,11,2,0.08750413646850459
Patrick Weathers,False,1980,1981,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0915778/?ref_=fn_nm_nm_0,0,10,0,0.08732341357693832
Noël Wells,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm3644706/?ref_=fn_nm_nm_1,0,21,0,0.08870895574561302
Brooks Wheelan,False,2013,2014,1,0,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm5120390/?ref_=fn_nm_nm_1,0,21,1,0.08873633800191094
Kristen Wiig,False,2005,2012,7,0,0,7,6,1,0,0,0,0,4,https://www.imdb.com/name/nm1325419/?ref_=fn_nm_nm_1,0,139,9,0.11448717777992323
Casey Wilson,False,2008,2009,2,0,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm1988111/?ref_=fn_nm_nm_1,0,30,0,0.09090641094358091
Sasheer Zamata,False,2014,2017,4,0,0,4,3,1,0,0,0,0,0,https://www.imdb.com/name/nm3550886/?ref_=fn_nm_nm_1,0,74,0,0.1023262391927478
Alan Zweibel,False,1980,1980,1,5,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0958993/?ref_=fn_nm_nm_1,110,52,0,0.10586667754188903
Tim Kazurinsky,False,1981,1984,4,3,0,4,4,0,0,0,0,0,0,https://www.imdb.com/name/nm0443730/?ref_=fn_nm_nm_0,60,57,5,0.10880077369439071
Laura Kightlinger,False,1994,1995,1,1,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm0452716/?ref_=fn_nm_nm_0,20,19,1,0.09089405979818695
Tim Robinson,False,2012,2016,4,3,0,1,0,1,0,0,0,0,0,https://www.imdb.com/name/nm4200503/?ref_=fn_nm_nm_0,68,21,0,0.03634321619165249
Tony Rosato,False,1981,1982,1,1,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0711014/?ref_=fn_nm_nm_1,21,20,1,0.09614050010486822
Adam Sandler,False,1990,1995,6,3,0,6,2,3,1,0,0,1,1,https://www.imdb.com/name/nm0001191/?ref_=fn_nm_nm_1,60,87,10,0.11151076258612788
Rob Schneider,False,1989,1994,5,3,0,5,2,2,1,0,0,0,0,https://www.imdb.com/name/nm0001705/?ref_=fn_nm_nm_1,56,80,4,0.1092523362308033
Harry Shearer,False,1979,1985,2,2,0,2,2,0,0,0,0,0,0,https://www.imdb.com/name/nm0733427/?ref_=fn_nm_nm_0,31,38,2,0.10070378224697629
Martin Short,False,1984,1985,1,1,0,1,1,0,0,0,0,0,3,https://www.imdb.com/name/nm0001737/?ref_=fn_nm_nm_1,17,25,5,0.09639789331406864
Sarah Silverman,False,1993,1994,1,1,0,1,0,1,0,0,0,0,1,https://www.imdb.com/name/nm0798971/?ref_=fn_nm_nm_1,20,18,1,0.09076810141921653
Robert Smigel,False,1985,2008,23,23,0,2,0,2,0,0,0,0,0,https://www.imdb.com/name/nm0806912/?ref_=fn_nm_nm_0,425,114,140,0.10125697981565485
David Spade,False,1989,1996,7,3,0,7,3,3,1,0,0,1,2,https://www.imdb.com/name/nm0005450/?ref_=fn_nm_nm_1,57,77,46,0.11241551450344067
Jason Sudeikis,False,2003,2013,10,2,0,9,8,1,0,0,0,0,0,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_0,37,177,2,0.11794552678800307
Terry Sweeney,False,1980,1986,3,2,0,1,1,0,0,0,0,0,0,https://www.imdb.com/name/nm0842202/?ref_=fn_nm_nm_1,31,18,1,0.03922106219850388
Bowen Yang,True,2019,2023,5,1,0,4,2,2,0,0,0,0,0,https://www.imdb.com/name/nm6299248/?ref_=fn_nm_nm_1,0,59,0,0.08275069329542542
